FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,SE_ANNO_CAD_DATA
AUFZUGOGD.137,137,POINT (16.359352200082977 48.20583134715459),Volkstheater,U3,Aufzug fährt vom Bahnsteig der Linie U3 ins Zwischengeschoß Aufgang Ring.,VT A04, ,
AUFZUGOGD.138,138,POINT (16.358162835580845 48.20479246758275),Volkstheater,U3,Aufzug fährt vom Bahnsteig der Linie U3 auf den Bahnsteig der Linie  U2 (Richtung Karlsplatz) Ausgang Burggasse.,VT A02, ,
AUFZUGOGD.139,139,POINT (16.359974286421387 48.206552984158265),Volkstheater,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Dr.Karl Renner Ring.,VT A05, ,
AUFZUGOGD.140,140,POINT (16.384455266708642 48.20573994433977),Landstraße,U3,Aufzug fährt vom Zwischengeschoß auf den ÖBB-Bahnsteig (Richtung  Wien Floridsdorf),LA A05, ,
AUFZUGOGD.141,141,POINT (16.385064386391857 48.20593543544871),Landstraße,U3,Aufzug fährt vom U3-Mittelbahnsteig in das Zwischengeschoß.,LA A03, ,
AUFZUGOGD.142,142,POINT (16.384553502924156 48.205729750536186),Landstraße,U3,Aufzug fährt vom Zwischengeschoß auf den ÖBB-Bahnsteig (Richtung Wien Meidling und Flughafen),LA A04, ,
AUFZUGOGD.143,143,POINT (16.385323592519764 48.206001631373994),Landstraße,U3,Aufzug fährt vom vom Zwischengeschoß in das Aufnahmegebäude Ausgang Markt/Landstr.Hauptstr. und in das obere Stockwerk des Marktes,LA A02, ,
AUFZUGOGD.144,144,POINT (16.39327135826162 48.20154632512335),Rochusgasse,U3,Aufzug fährt vom Mittelbahnsteig in das Aufnahmegebäude Ausgang Rochusmarkt,RG A02, ,
AUFZUGOGD.145,145,POINT (16.39134447540465 48.20256170579309),Rochusgasse,U3,Aufzug fährt vom Mittelbahnsteig in das Aufnahmegebäude Ausgang Hainburger Straße,RG A01, ,
AUFZUGOGD.146,146,POINT (16.417696409991123 48.18529069552349),Gasometer,U3,Aufzug fährt vom Bahnsteig der Linie U3 Gleis 2 an die Oberfläche Ausgang Modecenterstraße/Gasometer,AW A02, ,
AUFZUGOGD.147,147,POINT (16.417508708923965 48.1853479355839),Gasometer,U3,Aufzug fährt vom Bahnsteig der Linie U3 Gleis 1 an die Oberfläche Ausgang Modecenterstraße/Gasometer.,AW A01, ,
AUFZUGOGD.148,148,POINT (16.38011364805954 48.20705736463163),Stubentor,U3,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) auf den Seitenbahnsteig (Fahrtrichtung 1 nach Simmering) und in das Aufnahmegebäude Ausgang Parkring,SE A03,SE A01,
