FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,SE_ANNO_CAD_DATA
AUFZUGOGD.228,228,POINT (16.35805126432276 48.23544246763846),Spittelau,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),AU A04, ,
AUFZUGOGD.229,229,POINT (16.358424087479204 48.23551933016126),Spittelau,U6,Aufzug fährt vom U4-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),AU A02, ,
AUFZUGOGD.230,230,POINT (16.35840280781409 48.23572713864721),Spittelau,U6,Aufzug fährt vom U4-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),AU A03, ,
AUFZUGOGD.231,231,POINT (16.358837758303594 48.2340019639982),Spittelau,U6,Aufzug fährt vom U4-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Verkehrsamt,AU A01, ,
AUFZUGOGD.232,232,POINT (16.358095305725556 48.235707369053905),Spittelau,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig über Zwischengeschoss auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),AU A05, ,
AUFZUGOGD.233,233,POINT (16.357235764801626 48.235752740021056),Spittelau,U6,Aufzug fährt vom Aufnahmegebäude Ausgang Heiligenstädter Straße in das Zwischengeschoss,AU A06, ,
AUFZUGOGD.234,234,POINT (16.339018455481675 48.21139030464879),Josefstädter Straße,U6,Aufzug fährt von Ausgang zu Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,JS A02, ,
AUFZUGOGD.235,235,POINT (16.339290211862817 48.21152196004926),Josefstädter Straße,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,JS A01, ,
AUFZUGOGD.236,236,POINT (16.349336834698704 48.225489339063316),Währinger Straße - Volksoper,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,WA A02, ,
AUFZUGOGD.237,237,POINT (16.34962752709254 48.22564317519956),Währinger Straße - Volksoper,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,WA A01, ,
AUFZUGOGD.238,238,POINT (16.343936316348255 48.22097119486575),Michelbeuern - Allgemeines Krankhaus,U6,Aufzug fährt vom Mittelbahnsteig in die Passage zum AKH oder über den Gürtel.,MB A02,MB A01,
AUFZUGOGD.239,239,POINT (16.343936316348255 48.22097119486575),Michelbeuern - Allgemeines Krankhaus,U6,Aufzug fährt vom Mittelbahnsteig in die Passage zum AKH oder über den Gürtel.,MB A01,MB A01,
AUFZUGOGD.240,240,POINT (16.32443679185624 48.161230895224435),Am Schöpfwerk,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,PW A02, ,
AUFZUGOGD.241,241,POINT (16.324647828108848 48.161172222805256),Am Schöpfwerk,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,PW A01, ,
AUFZUGOGD.242,242,POINT (16.359628628386062 48.17989052795749),Matzleinsdorferplatz,USTR,"Aufzug fährt vom Bahnsteig der Linien 1, 6 Richtung Prater Hauptallee (1), Burggasse (6) an die Oberfläche Ausgang Evangelischer Friedhof.",MP A04, ,
AUFZUGOGD.243,243,POINT (16.359009871338372 48.18057910943928),Matzleinsdorferplatz,USTR,"Aufzug fährt vom unteren Durchgang zu Bahnsteig der Linen 6, 18, 62 WLB Richtung Zentralfriedhof (6), Schlachthausgasse (18), Kärntner Ring - Oper (61, WLB) und an die Oberfläche(Bushaltestelle).",MP A06, ,
AUFZUGOGD.244,244,POINT (16.358665895152544 48.18047289483871),Matzleinsdorferplatz,USTR,"Aufzug fährt vom Bahnsteig der Linien 6, 18, 62 WLB Richtung Zentralfriedhof (6), Schlachthausgasse (18), Kärntner Ring - Oper (61, WLB) an die Oberfläche (Anker).",MP A03, ,
AUFZUGOGD.245,245,POINT (16.360056152923562 48.181140446777455),Matzleinsdorferplatz,USTR,"Aufzug fährt vom Bahnsteig Linien 1, 18, 62, WLB Richtung Stefan Fadinger Platz (1), Burggasse (18), Lainz (62), Baden (WLB) an die Oberfläche.",MP A01, ,
AUFZUGOGD.246,246,POINT (16.374424247142148 48.185909733139745),Südtirolerplatz,USTR,Aufzug fährt von Passage zu Bahnsteig der Schenllbahn Gl. 1/Bahnsteig der Linie 18 Richtung Schlachthausgasse und zur Oberfläche bei Staßenbahnhaltestelle der Linie O.,SL A05, ,
AUFZUGOGD.247,247,POINT (16.373249810343022 48.18561744674846),Südtirolerplatz,USTR,Aufzug fährt vom Bahnsteig der Linie 18 Richtung Schlachthausgasse zur Oberfläche Ausgang Laxenburgerstraße.,SL A08, ,
AUFZUGOGD.248,248,POINT (16.37507556475313 48.186116525941486),Südtirolerplatz,USTR,Aufzug fährt von Passage zu Bahnsteig der Schenllbahn Gl. 1 und zur Oberfläche bei Staßenbahnhaltestelle der Linie O.,SL A06, ,
AUFZUGOGD.249,249,POINT (16.374001773067725 48.186031225086225),Südtirolerplatz,USTR,Aufzug fährt von Passage zu Bahnsteig der Linie 18 Richtung Burggasse,SL A04, ,
AUFZUGOGD.250,250,POINT (16.368213651517173 48.18437086264047),Blechturmgasse,USTR,Aufzug fährt vom Bahnsteig Linie 18 Richtung Burggasse an die Oberfläche Ausgang Innerer Wiedner Gürtel.,BL A02, ,
AUFZUGOGD.251,251,POINT (16.368474451860063 48.184162984068976),Blechturmgasse,USTR,Aufzug fährt vom Bahnsteig Linie 18 Richtung Schlachthausgasse an die Oberfläche Ausgang Äußerer Wiedner Gürtel (Mazda).,BL A01, ,
AUFZUGOGD.252,252,POINT (16.349404768599193 48.18060838661937),Eichenstraße,USTR,"Aufzug fährt vom Bahnsteig der Linien 6,18,62, WLB Fahrtrichtung Burggasse (6,18), Lainz (62), Baden (WLB) an die Oberfläche.",EI A02, ,
AUFZUGOGD.253,253,POINT (16.34938577070297 48.18052114199551),Eichenstraße,USTR,"Aufzug fährt vom Bahnsteig der Linien 6,18,62, WLB Fahrtrichtung Zentralfriedhof (6), Schlachthausgasse (18), Kärnter Ring - Oper (62, WLB) an die Oberfläche.",EI A01, ,
AUFZUGOGD.254,254,POINT (16.362775642783117 48.18579802414694),Laurenzgasse,USTR,"Aufzug fährt vom Bahnsteig der Linien 1, 62, WLB Richtung Stefan Fadinger Platz (1), Lainz (62), Baden (WLB) an die Oberfläche.",LG A02, ,
AUFZUGOGD.255,255,POINT (16.362989097072152 48.18572024509572),Laurenzgasse,USTR,"Aufzug fährt vom Bahnsteig der Linien 1, 62, WLB Richtung Prater Hauptallee (1), Kärnter Ring Oper (62, WLB) an die Oberfläche.",LG A01, ,
AUFZUGOGD.256,256,POINT (16.364505563046098 48.18261707315325),Kliebergasse,USTR,"Aufzug fährt vom Bahnsteig der Linien 1,18,62, WLB Richtung Prater Hauptallee (1), Schlachthausgasse (18), Kärnter Ring - Oper (62, WLB) zur Oberfläche Ausgang Landgutgasse (10. Bezirk).",KL A03, ,
AUFZUGOGD.257,257,POINT (16.364388404453383 48.18308109542662),Kliebergasse,USTR,Aufzug fährt vom Bahnsteig Linie 18 Richtung Burggasse an die Oberfläche Ausgang Kliebergasse (5. Bezirk).,KL A02, ,
AUFZUGOGD.258,258,POINT (16.364064067814777 48.182937931859534),Kliebergasse,USTR,"Aufzug fährt vom Bahnsteig der Linien 1, 62, WLB Richtung Stefan Fadinger Platz (1), Lainz(62), Baden (WLB) an die Oberfläche Ausgang Kliebergasse / Gassergasse (5. Bezirk).",KL A01, ,
