FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.29296,29296,POINT (16.35825137111044 48.204909692840225),2,,Volkstheater,,1980,8,
UBAHNHALTOGD.29297,29297,POINT (16.401067610745752 48.22362318601974),1,,Vorgartenstraße,,1982,9,
UBAHNHALTOGD.29298,29298,POINT (16.339592988548866 48.19583234491603),3,,Westbahnhof,,1993,9,
UBAHNHALTOGD.29299,29299,POINT (16.316867288294755 48.15072174415088),6,,Alterlaa,,1995,4,
UBAHNHALTOGD.29300,29300,POINT (16.34949137625096 48.22558078053577),6,,Währinger Straße-Volksoper,,1989,10,
UBAHNHALTOGD.28978,28978,POINT (16.34597150110078 48.197074450704704),3,,Zieglergasse,,1993,9,
UBAHNHALTOGD.28979,28979,POINT (16.36182740886657 48.21452055774297),2,,Schottentor,,1980,8,
UBAHNHALTOGD.28980,28980,POINT (16.394825555109936 48.24639957683716),6,,Neue Donau,,1996,5,
UBAHNHALTOGD.28981,28981,POINT (16.38569404560569 48.24185437712757),6,,Handelskai,,1996,5,
UBAHNHALTOGD.28982,28982,POINT (16.417458039093816 48.185137107591025),3,,Gasometer,,2000,12,
UBAHNHALTOGD.28983,28983,POINT (16.414787588913104 48.17471287966835),3,,Enkplatz,,2000,12,
UBAHNHALTOGD.28984,28984,POINT (16.381282992872208 48.219124265571814),2,,Taborstraße,,2008,5,
UBAHNHALTOGD.28985,28985,POINT (16.26082720804908 48.19695114817187),4,,Hütteldorf,,1981,12,
UBAHNHALTOGD.28986,28986,POINT (16.342945684151 48.18847808346095),4,,Margaretengürtel,,1980,10,
UBAHNHALTOGD.28987,28987,POINT (16.318947007508072 48.18604140356519),4,,Schönbrunn,,1981,8,
